SensorID: 5498,
Firmware Version: 1.5.5,

mm-dd,hh:mm:ss,SmO2 Live,SmO2 Averaged,THb,Lap,Session Ct,
2-11,14:3:13,37,37,13.2,4,37,
2-11,14:3:14,35,35,13.18,4,37,
2-11,14:3:14,37,37,13.2,4,37,
2-11,14:3:15,35,35,13.18,4,37,
2-11,14:3:15,37,37,13.19,4,37,
2-11,14:3:16,34,34,13.17,4,37,
2-11,14:3:16,35,35,13.19,4,37,
2-11,14:3:17,36,36,13.2,4,37,
2-11,14:3:17,37,37,13.21,4,37,
2-11,14:3:18,36,36,13.2,4,37,
2-11,14:3:18,37,37,13.2,4,37,
2-11,14:3:19,37,37,13.22,4,37,
2-11,14:3:19,35,35,13.19,4,37,
2-11,14:3:20,33,33,13.17,4,37,
2-11,14:3:20,34,34,13.18,4,37,
2-11,14:3:21,34,34,13.18,4,37,
2-11,14:3:21,35,35,13.2,4,37,
2-11,14:3:22,36,36,13.21,4,37,
2-11,14:3:22,36,36,13.2,4,37,
2-11,14:3:23,34,34,13.18,4,37,
2-11,14:3:23,36,36,13.2,4,37,
2-11,14:3:24,35,35,13.2,4,37,
2-11,14:3:24,34,34,13.18,4,37,
2-11,14:3:25,36,36,13.22,4,37,
2-11,14:3:25,34,34,13.19,4,37,
2-11,14:3:26,35,35,13.21,4,37,
2-11,14:3:26,35,35,13.21,4,37,
2-11,14:3:27,33,33,13.17,4,37,
2-11,14:3:27,31,31,13.15,4,37,
2-11,14:3:28,32,32,13.17,4,37,
2-11,14:3:28,35,35,13.2,4,37,
2-11,14:3:29,32,32,13.17,4,37,
2-11,14:3:29,34,34,13.2,4,37,
2-11,14:3:30,32,32,13.17,4,37,
2-11,14:3:30,31,31,13.16,4,37,
2-11,14:3:31,33,33,13.19,4,37,
2-11,14:3:31,34,34,13.19,4,37,
2-11,14:3:32,33,33,13.18,4,37,
2-11,14:3:32,34,34,13.2,4,37,
2-11,14:3:33,32,32,13.18,4,37,
2-11,14:3:33,34,34,13.2,4,37,
2-11,14:3:34,33,33,13.19,4,37,
2-11,14:3:34,31,31,13.17,4,37,
2-11,14:3:35,31,31,13.18,4,37,
2-11,14:3:35,31,31,13.17,4,37,
2-11,14:3:36,34,34,13.21,4,37,
2-11,14:3:36,31,31,13.17,4,37,
2-11,14:3:37,32,32,13.19,4,37,
2-11,14:3:37,30,30,13.15,4,37,
2-11,14:3:38,32,32,13.19,4,37,
2-11,14:3:38,32,32,13.19,4,37,
2-11,14:3:39,31,31,13.18,4,37,
2-11,14:3:39,30,30,13.17,4,37,
2-11,14:3:40,29,29,13.15,4,37,
2-11,14:3:40,31,31,13.19,4,37,
2-11,14:3:41,31,31,13.18,4,37,
2-11,14:3:41,30,30,13.17,4,37,
2-11,14:3:42,32,32,13.2,4,37,
2-11,14:3:42,32,32,13.2,4,37,
2-11,14:3:43,31,31,13.19,4,37,
2-11,14:3:43,32,32,13.2,4,37,
2-11,14:3:44,30,30,13.18,4,37,
2-11,14:3:44,31,31,13.19,4,37,
2-11,14:3:45,31,31,13.19,4,37,
2-11,14:3:45,29,29,13.17,4,37,
2-11,14:3:46,32,32,13.2,4,37,
2-11,14:3:46,32,32,13.21,4,37,
2-11,14:3:47,29,29,13.18,4,37,
2-11,14:3:47,33,33,13.22,4,37,
2-11,14:3:48,30,30,13.19,4,37,
2-11,14:3:48,31,31,13.2,4,37,
2-11,14:3:49,31,31,13.2,4,37,
2-11,14:3:49,31,31,13.2,4,37,
2-11,14:3:50,30,30,13.2,4,37,
2-11,14:3:50,32,32,13.22,4,37,
2-11,14:3:51,29,29,13.18,4,37,
2-11,14:3:51,31,31,13.2,4,37,
2-11,14:3:52,30,30,13.2,4,37,
2-11,14:3:52,29,29,13.2,4,37,
2-11,14:3:53,30,30,13.21,4,37,
2-11,14:3:53,31,31,13.2,4,37,
2-11,14:3:54,30,30,13.2,4,37,
2-11,14:3:54,29,29,13.19,4,37,
2-11,14:3:55,29,29,13.19,4,37,
2-11,14:3:55,32,32,13.23,4,37,
2-11,14:3:56,28,28,13.19,4,37,
2-11,14:3:56,28,28,13.18,4,37,
2-11,14:3:57,27,27,13.17,4,37,
2-11,14:3:57,29,29,13.2,4,37,
2-11,14:3:58,27,27,13.18,4,37,
2-11,14:3:58,29,29,13.21,4,37,
2-11,14:3:59,28,28,13.19,4,37,
2-11,14:3:59,30,30,13.21,4,37,
2-11,14:4:0,29,29,13.19,4,37,
2-11,14:4:0,28,28,13.2,4,37,
2-11,14:4:1,30,30,13.22,4,37,
2-11,14:4:1,30,30,13.21,4,37,
2-11,14:4:2,29,29,13.22,4,37,
2-11,14:4:2,28,28,13.2,4,37,
2-11,14:4:3,27,27,13.18,4,37,
2-11,14:4:3,30,30,13.22,4,37,
2-11,14:4:4,28,28,13.19,4,37,
2-11,14:4:4,25,25,13.17,4,37,
2-11,14:4:5,28,28,13.2,4,37,
2-11,14:4:5,30,30,13.23,4,37,
2-11,14:4:6,27,27,13.2,4,37,
2-11,14:4:6,28,28,13.2,4,37,
2-11,14:4:7,28,28,13.21,4,37,
2-11,14:4:7,26,26,13.18,4,37,
2-11,14:4:8,28,28,13.21,4,37,
2-11,14:4:8,29,29,13.22,4,37,
2-11,14:4:9,27,27,13.2,4,37,
2-11,14:4:9,27,27,13.2,4,37,
2-11,14:4:10,25,25,13.18,4,37,
2-11,14:4:10,28,28,13.21,4,37,
2-11,14:4:11,28,28,13.22,4,37,
2-11,14:4:11,26,26,13.19,4,37,
2-11,14:4:12,27,27,13.21,4,37,
2-11,14:4:12,27,27,13.21,4,37,
2-11,14:4:13,26,26,13.2,4,37,
2-11,14:4:13,27,27,13.21,4,37,
2-11,14:4:14,30,30,13.24,4,37,
2-11,14:4:14,27,27,13.21,4,37,
2-11,14:4:15,29,29,13.24,4,37,
2-11,14:4:15,26,26,13.2,4,37,
2-11,14:4:16,26,26,13.2,4,37,
2-11,14:4:16,26,26,13.21,4,37,
2-11,14:4:17,24,24,13.18,4,37,
2-11,14:4:17,24,24,13.19,4,37,
2-11,14:4:18,26,26,13.21,4,37,
2-11,14:4:18,25,25,13.2,4,37,
2-11,14:4:19,22,22,13.17,4,37,
2-11,14:4:19,27,27,13.22,4,37,
2-11,14:4:20,24,24,13.18,4,37,
2-11,14:4:20,22,22,13.17,4,37,
2-11,14:4:21,25,25,13.21,4,37,
2-11,14:4:21,26,26,13.21,4,37,
2-11,14:4:22,25,25,13.21,4,37,
2-11,14:4:22,25,25,13.2,4,37,
2-11,14:4:23,26,26,13.21,4,37,
2-11,14:4:23,24,24,13.19,4,37,
2-11,14:4:24,24,24,13.2,4,37,
2-11,14:4:24,25,25,13.2,4,37,
2-11,14:4:25,24,24,13.2,4,37,
2-11,14:4:25,24,24,13.2,4,37,
2-11,14:4:26,27,27,13.23,4,37,
2-11,14:4:26,24,24,13.21,4,37,
2-11,14:4:27,27,27,13.24,4,37,
2-11,14:4:27,22,22,13.18,4,37,
2-11,14:4:28,23,23,13.21,4,37,
2-11,14:4:28,23,23,13.2,4,37,
2-11,14:4:29,23,23,13.2,4,37,
2-11,14:4:29,23,23,13.21,4,37,
2-11,14:4:30,23,23,13.2,4,37,
2-11,14:4:30,24,24,13.2,4,37,
2-11,14:4:31,25,25,13.22,4,37,
2-11,14:4:31,22,22,13.2,4,37,
2-11,14:4:32,26,26,13.23,4,37,
2-11,14:4:32,23,23,13.21,4,37,
2-11,14:4:33,22,22,13.2,4,37,
2-11,14:4:33,25,25,13.23,4,37,
2-11,14:4:34,21,21,13.19,4,37,
2-11,14:4:34,22,22,13.2,4,37,
2-11,14:4:35,24,24,13.22,4,37,
2-11,14:4:35,22,22,13.19,4,37,
2-11,14:4:36,22,22,13.2,4,37,
2-11,14:4:36,25,25,13.22,4,37,
2-11,14:4:37,23,23,13.21,4,37,
2-11,14:4:37,24,24,13.22,4,37,
